text,entity_types,entities_json
"cuivre pour charpente (140 m2), étanchéité requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Charpente"", ""MATERIAU"": ""Cuivre"", ""SURFACE"": ""140 m2"", ""ACTIVITE_SPECIALE"": ""\u00c9tanch\u00e9it\u00e9""}"
"isolation 190 m², chauffage","TYPE_TRAVAIL, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Isolation"", ""SURFACE"": ""190 m\u00b2"", ""ACTIVITE_SPECIALE"": ""Chauffage""}"
"Nous proposons fenêtres 30m², matériau cuivre, avec aération","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Fen\u00eatres"", ""MATERIAU"": ""Cuivre"", ""SURFACE"": ""30m\u00b2"", ""ACTIVITE_SPECIALE"": ""A\u00e9ration""}"
"peinture 240 m², durée 30 jours","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Peinture"", ""SURFACE"": ""240 m\u00b2"", ""DUREE_ESTIMEE"": ""30 Jours""}"
"plomberie 160m2 tuiles, étanchéité, budget 15000€","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Plomberie"", ""MATERIAU"": ""Tuiles"", ""SURFACE"": ""160m2"", ""ACTIVITE_SPECIALE"": ""\u00c9tanch\u00e9it\u00e9"", ""BUDGET"": ""15000\u20ac""}"
béton 100 m²,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""B\u00e9ton"", ""SURFACE"": ""100 m\u00b2""}"
"cuivre pour carrelage (70 m2), traitement humidité requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Carrelage"", ""MATERIAU"": ""Cuivre"", ""SURFACE"": ""70 m2"", ""ACTIVITE_SPECIALE"": ""Traitement Humidit\u00e9""}"
"plomberie 40m², durée 1 mois","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Plomberie"", ""SURFACE"": ""40m\u00b2"", ""DUREE_ESTIMEE"": ""1 Mois""}"
"plomberie 230 m² aluminium, équipe de 5 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Plomberie"", ""MATERIAU"": ""Aluminium"", ""SURFACE"": ""230 m\u00b2"", ""NB_OUVRIERS"": ""5 personnes""}"
"excavation 120 m² en béton poli, incluant éclairage led, budget 10000€, équipe 5 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Excavation"", ""MATERIAU"": ""B\u00e9ton Poli"", ""SURFACE"": ""120 m\u00b2"", ""ACTIVITE_SPECIALE"": ""\u00c9clairage Led"", ""BUDGET"": ""10000\u20ac"", ""NB_OUVRIERS"": ""5 personnes""}"
"électricité 350 m2 en fibre de verre, incluant éclairage led, budget 95000 euros, équipe 4 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""\u00c9lectricit\u00e9"", ""MATERIAU"": ""Fibre De Verre"", ""SURFACE"": ""350 m2"", ""ACTIVITE_SPECIALE"": ""\u00c9clairage Led"", ""BUDGET"": ""95000 euros"", ""NB_OUVRIERS"": ""4 personnes""}"
"zinc pour piscine (110 m²), traitement humidité requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Piscine"", ""MATERIAU"": ""Zinc"", ""SURFACE"": ""110 m\u00b2"", ""ACTIVITE_SPECIALE"": ""Traitement Humidit\u00e9""}"
"excavation 250m², durée 4 semaines","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Excavation"", ""SURFACE"": ""250m\u00b2"", ""DUREE_ESTIMEE"": ""4 Semaines""}"
"escalier 330 m² en béton, incluant chauffage, budget 60000 euros, équipe 4 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Escalier"", ""MATERIAU"": ""B\u00e9ton"", ""SURFACE"": ""330 m\u00b2"", ""ACTIVITE_SPECIALE"": ""Chauffage"", ""BUDGET"": ""60000 euros"", ""NB_OUVRIERS"": ""4 personnes""}"
"fenêtres : 430m2 en cuivre, coût estimé 70000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Fen\u00eatres"", ""MATERIAU"": ""Cuivre"", ""SURFACE"": ""430m2"", ""BUDGET"": ""70000 euros""}"
"chauffage 390m2 zinc, traitement humidité, budget 65000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Chauffage"", ""MATERIAU"": ""Zinc"", ""SURFACE"": ""390m2"", ""ACTIVITE_SPECIALE"": ""Traitement Humidit\u00e9"", ""BUDGET"": ""65000 euros""}"
"escalier 230m², durée 10 jours","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Escalier"", ""SURFACE"": ""230m\u00b2"", ""DUREE_ESTIMEE"": ""10 Jours""}"
"peinture 30m2, éclairage led","TYPE_TRAVAIL, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Peinture"", ""SURFACE"": ""30m2"", ""ACTIVITE_SPECIALE"": ""\u00c9clairage Led""}"
"façade : 140m² en ardoise, coût estimé 25000€","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Fa\u00e7ade"", ""MATERIAU"": ""Ardoise"", ""SURFACE"": ""140m\u00b2"", ""BUDGET"": ""25000\u20ac""}"
"charpente 410m2 pvc, équipe de 4 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Charpente"", ""MATERIAU"": ""Pvc"", ""SURFACE"": ""410m2"", ""NB_OUVRIERS"": ""4 personnes""}"
maçonnerie 30m²,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Ma\u00e7onnerie"", ""SURFACE"": ""30m\u00b2""}"
"plomberie 260m2 ardoise, équipe de 2 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Plomberie"", ""MATERIAU"": ""Ardoise"", ""SURFACE"": ""260m2"", ""NB_OUVRIERS"": ""2 personnes""}"
"toiture : 300m2 en ardoise, coût estimé 15000€","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Toiture"", ""MATERIAU"": ""Ardoise"", ""SURFACE"": ""300m2"", ""BUDGET"": ""15000\u20ac""}"
"menuiserie 30 m2, protection contre la corrosion","TYPE_TRAVAIL, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Menuiserie"", ""SURFACE"": ""30 m2"", ""ACTIVITE_SPECIALE"": ""Protection Contre La Corrosion""}"
"menuiserie 330m2, durée 15 jours","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Menuiserie"", ""SURFACE"": ""330m2"", ""DUREE_ESTIMEE"": ""15 Jours""}"
"plomberie 70m2 gypse, sécurité incendie, budget 30000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Plomberie"", ""MATERIAU"": ""Gypse"", ""SURFACE"": ""70m2"", ""ACTIVITE_SPECIALE"": ""S\u00e9curit\u00e9 Incendie"", ""BUDGET"": ""30000 euros""}"
"béton 330 m2 en ardoise, incluant décontamination, budget 55000€, équipe 5 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""B\u00e9ton"", ""MATERIAU"": ""Ardoise"", ""SURFACE"": ""330 m2"", ""ACTIVITE_SPECIALE"": ""D\u00e9contamination"", ""BUDGET"": ""55000\u20ac"", ""NB_OUVRIERS"": ""5 personnes""}"
"isolation 440 m2, traitement humidité","TYPE_TRAVAIL, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Isolation"", ""SURFACE"": ""440 m2"", ""ACTIVITE_SPECIALE"": ""Traitement Humidit\u00e9""}"
"électricité 200m2 cuivre, équipe de petit groupe","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""\u00c9lectricit\u00e9"", ""MATERIAU"": ""Cuivre"", ""SURFACE"": ""200m2"", ""NB_OUVRIERS"": ""petit groupe""}"
revêtement 190m2,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Rev\u00eatement"", ""SURFACE"": ""190m2""}"
"excavation : 110m² en pvc, coût estimé 35000€","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Excavation"", ""MATERIAU"": ""Pvc"", ""SURFACE"": ""110m\u00b2"", ""BUDGET"": ""35000\u20ac""}"
"escalier 340m² pierre, ventilation, budget 30000€","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Escalier"", ""MATERIAU"": ""Pierre"", ""SURFACE"": ""340m\u00b2"", ""ACTIVITE_SPECIALE"": ""Ventilation"", ""BUDGET"": ""30000\u20ac""}"
"inox pour escalier (310 m²), ventilation requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Escalier"", ""MATERIAU"": ""Inox"", ""SURFACE"": ""310 m\u00b2"", ""ACTIVITE_SPECIALE"": ""Ventilation""}"
"piscine 390 m² ardoise, décontamination, budget 90000€","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Piscine"", ""MATERIAU"": ""Ardoise"", ""SURFACE"": ""390 m\u00b2"", ""ACTIVITE_SPECIALE"": ""D\u00e9contamination"", ""BUDGET"": ""90000\u20ac""}"
"maçonnerie 330m2, durée 2 mois","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Ma\u00e7onnerie"", ""SURFACE"": ""330m2"", ""DUREE_ESTIMEE"": ""2 Mois""}"
"démolition 440 m2 en béton poli, incluant climatisation, budget 30000€, équipe équipe de 5","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""D\u00e9molition"", ""MATERIAU"": ""B\u00e9ton Poli"", ""SURFACE"": ""440 m2"", ""ACTIVITE_SPECIALE"": ""Climatisation"", ""BUDGET"": ""30000\u20ac"", ""NB_OUVRIERS"": ""\u00e9quipe de 5""}"
"gutter 400m2 béton, ventilation, budget 55000€","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Gutter"", ""MATERIAU"": ""B\u00e9ton"", ""SURFACE"": ""400m2"", ""ACTIVITE_SPECIALE"": ""Ventilation"", ""BUDGET"": ""55000\u20ac""}"
"carrelage 210 m² en pierre, incluant désamiantage, budget 55000€, équipe équipe de 5","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Carrelage"", ""MATERIAU"": ""Pierre"", ""SURFACE"": ""210 m\u00b2"", ""ACTIVITE_SPECIALE"": ""D\u00e9samiantage"", ""BUDGET"": ""55000\u20ac"", ""NB_OUVRIERS"": ""\u00e9quipe de 5""}"
"carrelage pour peinture (460 m²), désamiantage requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Peinture"", ""MATERIAU"": ""Carrelage"", ""SURFACE"": ""460 m\u00b2"", ""ACTIVITE_SPECIALE"": ""D\u00e9samiantage""}"
"bois pour escalier (380 m2), conformité handicap requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Escalier"", ""MATERIAU"": ""Bois"", ""SURFACE"": ""380 m2"", ""ACTIVITE_SPECIALE"": ""Conformit\u00e9 Handicap""}"
"plomberie 70 m², durée 3 mois","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Plomberie"", ""SURFACE"": ""70 m\u00b2"", ""DUREE_ESTIMEE"": ""3 Mois""}"
"Nous proposons toiture 260m², matériau zinc, avec isolation acoustique","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Toiture"", ""MATERIAU"": ""Zinc"", ""SURFACE"": ""260m\u00b2"", ""ACTIVITE_SPECIALE"": ""Isolation Acoustique""}"
"Nous proposons isolation 100 m2, matériau fibre de verre, avec aération","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Isolation"", ""MATERIAU"": ""Fibre De Verre"", ""SURFACE"": ""100 m2"", ""ACTIVITE_SPECIALE"": ""A\u00e9ration""}"
"électricité : 200m² en pvc, coût estimé 25000€","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""\u00c9lectricit\u00e9"", ""MATERIAU"": ""Pvc"", ""SURFACE"": ""200m\u00b2"", ""BUDGET"": ""25000\u20ac""}"
gutter 390m2 ardoise,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""Gutter"", ""MATERIAU"": ""Ardoise"", ""SURFACE"": ""390m2""}"
"plomberie : 30m2 en béton, coût estimé 5000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Plomberie"", ""MATERIAU"": ""B\u00e9ton"", ""SURFACE"": ""30m2"", ""BUDGET"": ""5000 euros""}"
maçonnerie 410m2,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Ma\u00e7onnerie"", ""SURFACE"": ""410m2""}"
béton 300m2,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""B\u00e9ton"", ""SURFACE"": ""300m2""}"
"chauffage 270 m² brique, isolation thermique, budget 45000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Chauffage"", ""MATERIAU"": ""Brique"", ""SURFACE"": ""270 m\u00b2"", ""ACTIVITE_SPECIALE"": ""Isolation Thermique"", ""BUDGET"": ""45000 euros""}"
"démolition 230 m² parquet, équipe de 5 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""D\u00e9molition"", ""MATERIAU"": ""Parquet"", ""SURFACE"": ""230 m\u00b2"", ""NB_OUVRIERS"": ""5 personnes""}"
"isolation 400 m² tôle, étanchéité, budget 65000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Isolation"", ""MATERIAU"": ""T\u00f4le"", ""SURFACE"": ""400 m\u00b2"", ""ACTIVITE_SPECIALE"": ""\u00c9tanch\u00e9it\u00e9"", ""BUDGET"": ""65000 euros""}"
façade 50 m²,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Fa\u00e7ade"", ""SURFACE"": ""50 m\u00b2""}"
isolation 340 m2 béton,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""Isolation"", ""MATERIAU"": ""B\u00e9ton"", ""SURFACE"": ""340 m2""}"
"Nous proposons maçonnerie 470 m², matériau bois, avec traitement humidité","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Ma\u00e7onnerie"", ""MATERIAU"": ""Bois"", ""SURFACE"": ""470 m\u00b2"", ""ACTIVITE_SPECIALE"": ""Traitement Humidit\u00e9""}"
démolition 60 m²,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""D\u00e9molition"", ""SURFACE"": ""60 m\u00b2""}"
"ardoise pour béton (40 m²), désamiantage requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""B\u00e9ton"", ""MATERIAU"": ""Ardoise"", ""SURFACE"": ""40 m\u00b2"", ""ACTIVITE_SPECIALE"": ""D\u00e9samiantage""}"
"carrelage pour cloison (330 m2), aération requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Cloison"", ""MATERIAU"": ""Carrelage"", ""SURFACE"": ""330 m2"", ""ACTIVITE_SPECIALE"": ""A\u00e9ration""}"
excavation 80 m²,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Excavation"", ""SURFACE"": ""80 m\u00b2""}"
"toiture 480m², isolation thermique","TYPE_TRAVAIL, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Toiture"", ""SURFACE"": ""480m\u00b2"", ""ACTIVITE_SPECIALE"": ""Isolation Thermique""}"
"carrelage 470 m2, durée 30 jours","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Carrelage"", ""SURFACE"": ""470 m2"", ""DUREE_ESTIMEE"": ""30 Jours""}"
"pierre pour isolation (300 m2), mise aux normes requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Isolation"", ""MATERIAU"": ""Pierre"", ""SURFACE"": ""300 m2"", ""ACTIVITE_SPECIALE"": ""Mise Aux Normes""}"
"chauffage 330 m2, climatisation","TYPE_TRAVAIL, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Chauffage"", ""SURFACE"": ""330 m2"", ""ACTIVITE_SPECIALE"": ""Climatisation""}"
"toiture 450m², mise aux normes","TYPE_TRAVAIL, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Toiture"", ""SURFACE"": ""450m\u00b2"", ""ACTIVITE_SPECIALE"": ""Mise Aux Normes""}"
"plomberie : 490m² en ardoise, coût estimé 70000€","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Plomberie"", ""MATERIAU"": ""Ardoise"", ""SURFACE"": ""490m\u00b2"", ""BUDGET"": ""70000\u20ac""}"
"Nous proposons toiture 310 m2, matériau brique, avec chauffage","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Toiture"", ""MATERIAU"": ""Brique"", ""SURFACE"": ""310 m2"", ""ACTIVITE_SPECIALE"": ""Chauffage""}"
chauffage 450m²,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Chauffage"", ""SURFACE"": ""450m\u00b2""}"
"Nous proposons charpente 180m², matériau parquet, avec traitement humidité","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Charpente"", ""MATERIAU"": ""Parquet"", ""SURFACE"": ""180m\u00b2"", ""ACTIVITE_SPECIALE"": ""Traitement Humidit\u00e9""}"
"revêtement 270m2 carrelage, désamiantage, budget 65000€","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Rev\u00eatement"", ""MATERIAU"": ""Carrelage"", ""SURFACE"": ""270m2"", ""ACTIVITE_SPECIALE"": ""D\u00e9samiantage"", ""BUDGET"": ""65000\u20ac""}"
"toiture 480m2, désamiantage","TYPE_TRAVAIL, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Toiture"", ""SURFACE"": ""480m2"", ""ACTIVITE_SPECIALE"": ""D\u00e9samiantage""}"
"excavation 350 m2 tuiles, traitement humidité, budget 20000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Excavation"", ""MATERIAU"": ""Tuiles"", ""SURFACE"": ""350 m2"", ""ACTIVITE_SPECIALE"": ""Traitement Humidit\u00e9"", ""BUDGET"": ""20000 euros""}"
"fenêtres 490 m2, isolation acoustique","TYPE_TRAVAIL, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Fen\u00eatres"", ""SURFACE"": ""490 m2"", ""ACTIVITE_SPECIALE"": ""Isolation Acoustique""}"
"plâtre pour électricité (120 m²), aération requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""\u00c9lectricit\u00e9"", ""MATERIAU"": ""Pl\u00e2tre"", ""SURFACE"": ""120 m\u00b2"", ""ACTIVITE_SPECIALE"": ""A\u00e9ration""}"
"maçonnerie 360m² en pvc, incluant étanchéité, budget 95000 euros, équipe 4 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Ma\u00e7onnerie"", ""MATERIAU"": ""Pvc"", ""SURFACE"": ""360m\u00b2"", ""ACTIVITE_SPECIALE"": ""\u00c9tanch\u00e9it\u00e9"", ""BUDGET"": ""95000 euros"", ""NB_OUVRIERS"": ""4 personnes""}"
"toiture : 120m² en gypse, coût estimé 40000 euros","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Toiture"", ""MATERIAU"": ""Gypse"", ""SURFACE"": ""120m\u00b2"", ""BUDGET"": ""40000 euros""}"
"gypse pour cloison (20 m2), isolation acoustique requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Cloison"", ""MATERIAU"": ""Gypse"", ""SURFACE"": ""20 m2"", ""ACTIVITE_SPECIALE"": ""Isolation Acoustique""}"
peinture 230m2 bois,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""Peinture"", ""MATERIAU"": ""Bois"", ""SURFACE"": ""230m2""}"
"béton poli pour carrelage (110 m²), protection contre la corrosion requise","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE","{""TYPE_TRAVAIL"": ""Carrelage"", ""MATERIAU"": ""B\u00e9ton Poli"", ""SURFACE"": ""110 m\u00b2"", ""ACTIVITE_SPECIALE"": ""Protection Contre La Corrosion""}"
"charpente 330m² tôle, conformité handicap, budget 60000€","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Charpente"", ""MATERIAU"": ""T\u00f4le"", ""SURFACE"": ""330m\u00b2"", ""ACTIVITE_SPECIALE"": ""Conformit\u00e9 Handicap"", ""BUDGET"": ""60000\u20ac""}"
"cloison 310 m2 en ardoise, incluant mise aux normes, budget 15000 euros, équipe grande équipe","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Cloison"", ""MATERIAU"": ""Ardoise"", ""SURFACE"": ""310 m2"", ""ACTIVITE_SPECIALE"": ""Mise Aux Normes"", ""BUDGET"": ""15000 euros"", ""NB_OUVRIERS"": ""grande \u00e9quipe""}"
béton 50 m² pierre,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""B\u00e9ton"", ""MATERIAU"": ""Pierre"", ""SURFACE"": ""50 m\u00b2""}"
électricité 80m2,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""\u00c9lectricit\u00e9"", ""SURFACE"": ""80m2""}"
"démolition 490 m2, durée 5 jours","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""D\u00e9molition"", ""SURFACE"": ""490 m2"", ""DUREE_ESTIMEE"": ""5 Jours""}"
fenêtres 160 m2,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Fen\u00eatres"", ""SURFACE"": ""160 m2""}"
"peinture : 480m² en bitume, coût estimé 95000€","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Peinture"", ""MATERIAU"": ""Bitume"", ""SURFACE"": ""480m\u00b2"", ""BUDGET"": ""95000\u20ac""}"
revêtement 410 m2,"TYPE_TRAVAIL, SURFACE","{""TYPE_TRAVAIL"": ""Rev\u00eatement"", ""SURFACE"": ""410 m2""}"
cloison 30m2 gypse,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""Cloison"", ""MATERIAU"": ""Gypse"", ""SURFACE"": ""30m2""}"
"charpente 80m2 en pierre, incluant désamiantage, budget 90000€, équipe 2 personnes","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET, NB_OUVRIERS","{""TYPE_TRAVAIL"": ""Charpente"", ""MATERIAU"": ""Pierre"", ""SURFACE"": ""80m2"", ""ACTIVITE_SPECIALE"": ""D\u00e9samiantage"", ""BUDGET"": ""90000\u20ac"", ""NB_OUVRIERS"": ""2 personnes""}"
"menuiserie 110 m², durée 10 jours","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Menuiserie"", ""SURFACE"": ""110 m\u00b2"", ""DUREE_ESTIMEE"": ""10 Jours""}"
"excavation 320 m2 tôle, désamiantage, budget 25000€","TYPE_TRAVAIL, MATERIAU, SURFACE, ACTIVITE_SPECIALE, BUDGET","{""TYPE_TRAVAIL"": ""Excavation"", ""MATERIAU"": ""T\u00f4le"", ""SURFACE"": ""320 m2"", ""ACTIVITE_SPECIALE"": ""D\u00e9samiantage"", ""BUDGET"": ""25000\u20ac""}"
"maçonnerie 50m², durée 4 semaines","TYPE_TRAVAIL, SURFACE, DUREE_ESTIMEE","{""TYPE_TRAVAIL"": ""Ma\u00e7onnerie"", ""SURFACE"": ""50m\u00b2"", ""DUREE_ESTIMEE"": ""4 Semaines""}"
revêtement 180m2 parquet,"TYPE_TRAVAIL, MATERIAU, SURFACE","{""TYPE_TRAVAIL"": ""Rev\u00eatement"", ""MATERIAU"": ""Parquet"", ""SURFACE"": ""180m2""}"
"plomberie : 180 m2 en brique, coût estimé 95000€","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Plomberie"", ""MATERIAU"": ""Brique"", ""SURFACE"": ""180 m2"", ""BUDGET"": ""95000\u20ac""}"
"piscine : 120m² en carrelage, coût estimé 95000€","TYPE_TRAVAIL, MATERIAU, SURFACE, BUDGET","{""TYPE_TRAVAIL"": ""Piscine"", ""MATERIAU"": ""Carrelage"", ""SURFACE"": ""120m\u00b2"", ""BUDGET"": ""95000\u20ac""}"
